name,rating,website,notion_id
Ivim Health,5,https://ivimhealth.com,35d84b6d-1f49-8065-92c4-c621eb14a543
Lemonaid Health,5,lemonaidhealth.com,35984b6d-1f49-80de-8f30-fe60486f7e6b
Marek Health,5,marekhealth.com,34b84b6d-1f49-81b3-a88f-e0f90a9ad3bc
Max Life,5,maxlife.com,35784b6d-1f49-8017-a696-ce76c426fb74
MegaAid Pharmacy,5,mega-aid.com,35f84b6d-1f49-805f-acaf-e89979f65c78
Midi,5,joinmidi.com,37684b6d-1f49-8057-84ca-ee1d80a25253
Quick MD,5,quick.md,35984b6d-1f49-80d5-8634-d32d59baee5f
RNK Health,5,myrnk.com,34b84b6d-1f49-81d6-b810-f66864cd2a1b
Scriptx Pharmacy,5,scripx.com,35f84b6d-1f49-80f3-9f33-f8f250ad1014
South End Pharmacy,5,southendpharmacystore.com,35f84b6d-1f49-80ce-b7c4-f8c193f4a892
SteadyMd,5,steadymd.com,36884b6d-1f49-80a7-8fe2-fb6d7f3dcfc6
Synchronicity Health,5,https://synchronicity.health,35884b6d-1f49-808f-8ed1-de535d43dbde
TRT Nation,5,trtnation.com,34b84b6d-1f49-8198-a2e3-d36acd151639
Alloy,4,myalloy.com,35884b6d-1f49-802e-bae5-d9df3b5863df
Alt Rx,4,altrx.com,36b84b6d-1f49-80ba-b0ed-ef3c37423d6e
Belmar Pharma,4,https://www.belmarpharmasolutions.com/,35d84b6d-1f49-8044-a1fa-d3a1d24c069f
Brello Health,4,brellohealth.com,35784b6d-1f49-8075-8281-fe2209208bd6
CareValidate,4,carevalidate.com,34b84b6d-1f49-8090-8369-c3626cb50101
Ensora eRx,4,ensorahealth.com/product/erx,36884b6d-1f49-8056-8fd2-e9f2d6bd7ddb
Fountain TRT,4,fountaintrt.com,34b84b6d-1f49-81fa-8a79-ee50ea39eabf
HormoneMD,4,hormonemd.com,35984b6d-1f49-80f2-9204-f52bb68d42ea
MD Integrations,4,mdintegrations.com,490113da-2c18-44cd-9e8d-e67a86bc623e
Mills Pharmacy,4,millspharmacy.com,35f84b6d-1f49-8062-b64c-eba573b2e4e9
My Telemedicine,4,mytelemedicine.com,35d84b6d-1f49-80ce-805c-f36c4ba34d20
NADclinic,4,nadclinic.com,35884b6d-1f49-80cf-8a1e-eb0a6ae642f1
OpenLoop,4,openloophealth.com,35384b6d-1f49-80d1-9a08-ca26fafb3d7d
ProHealth,4,prohealth.com,35884b6d-1f49-80c3-baad-c6802ffa9c87
Purgo Labs,4,purgolabs.com,35784b6d-1f49-803b-8261-ff1bc160bad3
Renue By Science,4,https://renuebyscience.com,35884b6d-1f49-8062-a049-ded0942c1fca
Sermorelin.com,4,sermorelin.com,37484b6d-1f49-80af-9431-caee8f11cac0
Strut Health,4,https://struthealth.com,35d84b6d-1f49-8000-9ca1-c97240ddc1f8
Trim Rx,4,trimrx.com,36b84b6d-1f49-8084-98c9-fd7065e133a4
Wheel,4,wheel.com/companies/clinician-network,9bec6df0-c8e7-4d16-b075-4b1010d100e9
Beluga Health,3,belugahealth.com,e6f5ebcc-2c46-405b-981d-312b0912f8f0
BeyondMD,3,beyondmd.com,37b84b6d-1f49-80a9-8b3f-f9e600d0df40
Citizen Meds,3,https://citizenmeds.com,35784b6d-1f49-80c9-9e3a-ccef0752fe3d
Defy Medical,3,defymedical.com,34b84b6d-1f49-81e3-acd4-e3f74a46a617
Jinfiniti,3,jinfiniti.com,35884b6d-1f49-80e7-be9f-ee38cc964e90
Kind Health,3,kindtelehealth.com,35984b6d-1f49-8014-b15b-e748c09e4758
MaleMD,3,malemd.com,37684b6d-1f49-80ad-9bdf-f49e864ade99
Mens,3,mens.com,35984b6d-1f49-80d9-b238-df14799596e3
Restorative Compounding,3,restorativecompounding.com,35f84b6d-1f49-808d-a630-ce8b756196df
Sprout Health,3,https://joinsprouthealth.com,35d84b6d-1f49-80b0-a03f-cc3655b75b6a
Surescripts,3,surescripts.com,36884b6d-1f49-80e2-8c08-ee90819ac678
Anazao Health,2,anazaohealth.com,35f84b6d-1f49-8038-b7cd-e1839b803852
DoseSpot,2,dosespot.com,36884b6d-1f49-8024-8081-d0a4a1181f57
Dr Telex,2,drtelx.com,35d84b6d-1f49-80c1-80de-d77ac08a6420
Infusive,2,goinfusive.com,35384b6d-1f49-80be-aa2b-f183138a01ea
Kingsberg Medical,2,kingsbergmedical.com,34b84b6d-1f49-81b2-9b66-e36e40dea743
menMD,2,menmd.com,35984b6d-1f49-80bd-b309-f0c9fad2702a
Meta Pharmacy,2,metapharmacyservices.com,35384b6d-1f49-809c-9749-d1a50eaff59c
White Label MD,2,https://whitelabelmd.com,35784b6d-1f49-8025-b1a3-d78d031be153
Our Venture (Bolze LLC),,,34b84b6d-1f49-81f7-8f9b-cc1bee99cd76
